database_name,schema_name,table_name,column_count
g2_amr,dbo,amr_billingcalculation,9
g2_amr,dbo,amr_billingdata,50
g2_amr,dbo,amr_billingparam,7
g2_amr,dbo,amr_billingparamvalue,6
g2_amr,dbo,amr_blockinfo,6
g2_amr,dbo,amr_callhistory,20
g2_amr,dbo,amr_controlsheet,6
g2_amr,dbo,amr_distributesent,5
g2_amr,dbo,amr_eventalarm,27
g2_amr,dbo,amr_loadprofile,29
g2_amr,dbo,amr_mailingstatus,10
g2_amr,dbo,amr_meterinfo,37
g2_amr,dbo,amr_modeminfo,4
g2_amr,dbo,amr_readingschedule,17
g2_amr,dbo,amr_setting,2
g2_amr,dbo,amr_timeofuse,2
g2_amr,dbo,amr_toudaytype,3
g2_amr,dbo,amr_touseason,14
g2_amr,dbo,amr_touspecialday,7
g2_amr,dbo,amr_toutiming,5
g2_amr,dbo,customer,32
g2_amr,dbo,firmaddress,11
g2_amr,dbo,invoice,53
g2_amr,dbo,invoiceitem,20
g2_amr,dbo,lm_billing,26
g2_amr,dbo,lm_billingitem,20
g2_amr,dbo,lm_billingprofile,11
g2_amr,dbo,lm_chargetype,17
g2_amr,dbo,lm_lease,31
g2_amr,dbo,lm_leasebillingprofile,3
g2_amr,dbo,lm_leasebillingprofilecharge,9
g2_amr,dbo,mm_datafield,13
g2_amr,dbo,mm_form,7
g2_amr,dbo,mm_formmeter,2
g2_amr,dbo,mm_formrecord,9
g2_amr,dbo,mm_leasemeter,4
g2_amr,dbo,mm_meter,11
g2_amr,dbo,mm_meterrecord,7
g2_amr,dbo,mm_meterrecorddatafield,7
g2_amr,dbo,mm_meterseriallog,6
g2_amr,dbo,mm_virtualmeter,5
g2_amr,dbo,sysbranch,7
g2_amr,dbo,sysoperation,3
g2_amr,dbo,sysrole,2
g2_amr,dbo,sysroleoperation,2
g2_amr,dbo,sysuser,16
g2_amr,dbo,sysuserrole,3
g2_amr,public,awsdms_apply_exceptions,6
g2_amr,public,awsdms_changes00fdadc87dccf118,53
g2_amr,public,awsdms_changes25134b9075da7fb7,21
g2_amr,public,awsdms_changes8741535380336044,31
g2_amr,public,awsdms_validation_failures_v1,8
