database_name,schema_name,table_name,column_count
q4_v862_rep,dbo,dd_lu_reltyp,3
q4_v862_rep,dbo,dd_lu_schema,3
q4_v862_rep,dbo,dd_lu_tasktyp,3
q4_v862_rep,dbo,dd_lu_trgtyp,3
q4_v862_rep,dbo,dd_menuitems_data,10
q4_v862_rep,dbo,dd_menutasks_data,16
q4_v862_rep,dbo,dd_multilanguagefields_data,5
q4_v862_rep,dbo,dd_onform_data,6
q4_v862_rep,dbo,dd_qrysp_data,10
q4_v862_rep,dbo,dd_reports_data,31
q4_v862_rep,dbo,dd_repsort_data,6
q4_v862_rep,dbo,dd_rulesonsave_data,12
q4_v862_rep,dbo,dd_safetyentities,2
q4_v862_rep,dbo,dd_schema_data,5
q4_v862_rep,dbo,dd_secschema_data,4
q4_v862_rep,dbo,dd_sectypes_data,11
q4_v862_rep,dbo,dd_sqlpool,8
q4_v862_rep,dbo,dd_stdproc,5
q4_v862_rep,dbo,dd_sysoption,11
q4_v862_rep,dbo,dd_taskbar_data,22
q4_v862_rep,dbo,dd_taskbarrel_data,8
q4_v862_rep,dbo,dd_taskgroup,4
q4_v862_rep,dbo,dd_tbldesc,12
q4_v862_rep,dbo,dd_trigger,4
q4_v862_rep,dbo,dd_version,5
q4_v862_rep,dbo,dd_viewsp_data,11
q4_v862_rep,dbo,dde_linkentries_data,11
q4_v862_rep,dbo,dde_setup_data,8
q4_v862_rep,dbo,diagnostic_log_data,12
q4_v862_rep,dbo,dmspool_data,24
q4_v862_rep,dbo,dmspool_history_data,24
q4_v862_rep,dbo,documentpool_data,21
q4_v862_rep,dbo,documentpool_history_data,21
q4_v862_rep,dbo,drawingpool_data,24
q4_v862_rep,dbo,entity_field_log_data,23
q4_v862_rep,dbo,eoh_ev_data,26
q4_v862_rep,dbo,eoh_hi_data,8
q4_v862_rep,dbo,eoh_lu_as_ty_data,14
q4_v862_rep,dbo,eoh_lu_cf_data,17
q4_v862_rep,dbo,eoh_lu_di_data,17
q4_v862_rep,dbo,eoh_temp_process_data,22
q4_v862_rep,dbo,eoh_un_current_data,37
q4_v862_rep,dbo,eoh_un_history_data,40
q4_v862_rep,dbo,extendedcollections_data,11
q4_v862_rep,dbo,extendedcollections_hi_data,11
q4_v862_rep,dbo,extendedproperties_data,11
q4_v862_rep,dbo,extendedproperties_hi_data,11
q4_v862_rep,dbo,extendedproperties_log_data,11
q4_v862_rep,dbo,faultpriority_data,16
q4_v862_rep,dbo,faulttypes1_data,15
q4_v862_rep,dbo,fi_log_data,13
q4_v862_rep,dbo,filter_lookups_data,21
q4_v862_rep,dbo,ge_coshh_data,71
q4_v862_rep,dbo,generic_entity_data,21
q4_v862_rep,dbo,generic_entity_history_data,21
q4_v862_rep,dbo,hazardtreeversion_data,19
q4_v862_rep,dbo,hs_da_data,18
q4_v862_rep,dbo,hs_fd_data,13
q4_v862_rep,dbo,lk_ac_ak_data,17
q4_v862_rep,dbo,lk_ac_sc_data,20
q4_v862_rep,dbo,lk_au_lg_data,21
q4_v862_rep,dbo,lk_au_lg_hi_data,22
q4_v862_rep,dbo,lk_bd_su_data,15
q4_v862_rep,dbo,lk_ca_po_tp_data,20
q4_v862_rep,dbo,lk_cc_cn_data,20
q4_v862_rep,dbo,lk_cc_do_data,23
q4_v862_rep,dbo,lk_cc_in_data,23
q4_v862_rep,dbo,lk_cc_po_re_data,15
q4_v862_rep,dbo,lk_cc_ra_data,18
q4_v862_rep,dbo,lk_cc_re_data,15
q4_v862_rep,dbo,lk_cc_sc_data,20
q4_v862_rep,dbo,lk_cn_sc_data,20
q4_v862_rep,dbo,lk_dj_sc_data,20
q4_v862_rep,dbo,lk_do_si_data,14
q4_v862_rep,dbo,lk_do_ty_data,14
q4_v862_rep,dbo,lk_doc_is_data,31
q4_v862_rep,dbo,lk_doc_is_hi_data,31
q4_v862_rep,dbo,lk_doc_is_log_data,28
q4_v862_rep,dbo,lk_doc_is_log_hi_data,28
q4_v862_rep,dbo,lk_dw_ip_data,24
q4_v862_rep,dbo,lk_eq_dw_data,14
q4_v862_rep,dbo,lk_eq_is_data,14
q4_v862_rep,dbo,lk_eq_sk_data,14
q4_v862_rep,dbo,lk_eq_td_data,21
q4_v862_rep,dbo,lk_fw_ct_data,21
q4_v862_rep,dbo,lk_fw_ra_data,18
q4_v862_rep,dbo,lk_fw_sc_data,20
q4_v862_rep,dbo,lk_fw_so_data,26
q4_v862_rep,dbo,lk_ha_co_data,14
q4_v862_rep,dbo,lk_hc_gt_data,21
q4_v862_rep,dbo,lk_hc_ic_data,7
q4_v862_rep,dbo,lk_hc_is_data,75
q4_v862_rep,dbo,lk_hc_lb_data,19
q4_v862_rep,dbo,lk_hc_ro_data,22
q4_v862_rep,dbo,lk_hc_sc_data,28
q4_v862_rep,dbo,lk_hd_ch_data,19
q4_v862_rep,dbo,lk_hd_ct_data,22
q4_v862_rep,dbo,lk_hd_eq_data,16
q4_v862_rep,dbo,lk_hd_gt_data,22
q4_v862_rep,dbo,lk_hd_ic_data,16
q4_v862_rep,dbo,lk_hd_ir_data,39
q4_v862_rep,dbo,lk_hd_is_data,74
q4_v862_rep,dbo,lk_hd_lb_data,19
q4_v862_rep,dbo,lk_hd_oh_data,16
q4_v862_rep,dbo,lk_hd_pe_data,7
q4_v862_rep,dbo,lk_hd_ro_data,22
q4_v862_rep,dbo,lk_hd_rs_data,26
q4_v862_rep,dbo,lk_hd_sc_data,28
q4_v862_rep,dbo,lk_hd_sp_data,16
q4_v862_rep,dbo,lk_hi_at_data,25
q4_v862_rep,dbo,lk_hi_cc_data,27
q4_v862_rep,dbo,lk_hi_co_data,20
q4_v862_rep,dbo,lk_hi_da_data,19
q4_v862_rep,dbo,lk_hi_ic_data,14
q4_v862_rep,dbo,lk_hi_mp_data,41
q4_v862_rep,dbo,lk_hi_pe_data,14
q4_v862_rep,dbo,lk_hi_ra_data,14
q4_v862_rep,dbo,lk_hi_sa_data,23
q4_v862_rep,dbo,lk_hi_sc_data,27
q4_v862_rep,dbo,lk_hi_sk_data,17
q4_v862_rep,dbo,lk_hi_sn_data,14
q4_v862_rep,dbo,lk_hi_sp_data,51
q4_v862_rep,dbo,lk_hi_ss_data,19
q4_v862_rep,dbo,lk_hi_st_data,21
q4_v862_rep,dbo,lk_hi_su_data,21
q4_v862_rep,dbo,lk_hi_ta_data,19
q4_v862_rep,dbo,lk_hi_tc_data,21
q4_v862_rep,dbo,lk_hi_te_data,24
q4_v862_rep,dbo,lk_hi_tl_data,17
q4_v862_rep,dbo,lk_hn_is_data,68
q4_v862_rep,dbo,lk_hn_ro_data,22
q4_v862_rep,dbo,lk_hn_rs_data,26
q4_v862_rep,dbo,lk_hn_sc_data,28
q4_v862_rep,dbo,lk_ic_eq_data,15
q4_v862_rep,dbo,lk_ic_gt_data,18
q4_v862_rep,dbo,lk_ic_ic_data,9
q4_v862_rep,dbo,lk_ic_is_data,59
q4_v862_rep,dbo,lk_ic_lb_data,19
q4_v862_rep,dbo,lk_ic_ro_data,22
q4_v862_rep,dbo,lk_ic_sc_data,23
q4_v862_rep,dbo,lk_ic_sth_node_data,16
q4_v862_rep,dbo,lk_ic_tp_is_data,43
q4_v862_rep,dbo,lk_ih_hi_sc_data,23
q4_v862_rep,dbo,lk_ih_sc_data,21
q4_v862_rep,dbo,lk_ip_md_data,14
q4_v862_rep,dbo,lk_ks_is_data,22
q4_v862_rep,dbo,lk_lb_el_data,18
q4_v862_rep,dbo,lk_lb_en_data,16
q4_v862_rep,dbo,lk_lb_hl_data,21
q4_v862_rep,dbo,lk_lb_re_data,18
q4_v862_rep,dbo,lk_lb_sn_data,15
q4_v862_rep,dbo,lk_le_ag_data,15
q4_v862_rep,dbo,lk_le_ci_data,21
q4_v862_rep,dbo,lk_le_hl_data,17
q4_v862_rep,dbo,lk_le_nt_data,20
